muniId,muniName,metroRegion,microName,partyOfMayor2012,pop1k2012,budget1M2012,salaryMayor1k2014,fitBudgetPop,gapBudgetPop,fitSalaryPop,gapSalaryPop,fitSalaryBudget,gapSalaryBudget,flagSalaryMissing,flagBudgetMissing
1,Arujá,RM São Paulo,Guarulhos,PR,76.112,14.295606,0,10.38711,3.908497,16.7313,0,16.70024,0,1,0
2,Barueri,RM São Paulo,Osasco,DEM,243.242,152.3598,26.72313,56.23721,96.12259,19.58857,7.134559,22.08759,4.635541,0,0
3,Bertioga,RM Baixada Santista,Santos,DEM,48.997002,24.923219,16.2,2.948436,21.97478,15.64814,0.5518636,17.96574,-1.765743,0,0
4,Caieiras,RM São Paulo,Franco da Rocha,PSD,87.704002,13.868897,16,13.56723,0.3016625,17.07993,-1.079927,16.63125,-0.6312511,0,0
5,Cajamar,RM São Paulo,Osasco,PSDB,65.139,25.909361,19.9,7.376798,18.53256,16.34844,3.551559,18.05409,1.84591,0,0
6,Carapicuíba,RM São Paulo,Osasco,PT,371.50201,35.917524,0,91.4238,-55.50628,20.63005,0,18.79771,0,1,0
7,Cotia,RM São Paulo,Itapecerica da Serra,PSDB,205.15401,48.749905,26.72313,45.78823,2.961675,19.16977,7.553357,19.49319,7.229939,0,0
8,Cubatao,RM Baixada Santista,Santos,PT,119.52,74.072362,0,22.29557,51.77679,17.8411,0,20.44563,0,1,0
9,Diadema,RM São Paulo,São Paulo,PV,388.57599,81.947977,20.8,96.10784,-14.15986,20.74056,0.0594419,20.67567,0.1243315,0,0
10,Embu-Guaçu,RM São Paulo,Itapecerica da Serra,PMDB,63.219002,7.654243,15.9,6.85007,0.804173,16.27486,-0.3748637,15.278,0.6219952,0,0
11,Ferraz De Vasconcelos,RM São Paulo,Mogi das Cruzes,PSDB,170.297,18.989751,0,36.22563,-17.23588,18.71182,0,17.34671,0,1,0
12,Francisco Morato,RM São Paulo,Franco da Rocha,PV,156.064,21.028289,0,32.32098,-11.29269,18.49718,0,17.57886,0,1,0
13,Franco Da Rocha,RM São Paulo,Franco da Rocha,PT,133.407,17.208149,20,26.1053,-8.897153,18.11142,1.888577,17.12241,2.877585,0,0
14,Guararema,RM São Paulo,Mogi das Cruzes,PR,26.146999,13.523538,14.89,-3.320187,16.84373,14.10367,0.7863275,16.57384,-1.683839,0,0
15,Guarujá,RM Baixada Santista,Santos,PMDB,292.74399,73.687051,17.1,69.81749,3.869565,20.04412,-2.944125,20.43375,-3.333752,0,0
16,Guarulhos,RM São Paulo,Guarulhos,PT,1233.436,232.99591,18.77077,327.885,-94.8891,23.58115,-4.810384,23.05468,-4.283908,0,0
17,Itapecerica Da Serra,RM São Paulo,Itapecerica da Serra,PMDB,154.37399,23.130518,18.31516,31.85734,-8.726825,18.47041,-0.1552475,17.79579,0.5193656,0,0
18,Itapevi,RM São Paulo,Osasco,PV,203.71201,34.666681,18,45.39264,-10.72595,19.15243,-1.152426,18.71701,-0.7170081,0,0
19,Itaquaquecetuba,RM São Paulo,Mogi das Cruzes,PTN,325.51801,34.858781,22,78.80865,-43.94986,20.3051,1.694902,18.72959,3.270411,0,0
20,Jandira,RM São Paulo,Osasco,PV,109.614,15.696897,17,19.57798,-3.881082,17.62833,-0.6283317,16.91314,0.0868604,0,0
21,Juquitiba,RM São Paulo,Itapecerica da Serra,PPS,28.912001,4.2109384,9,-2.561642,6.772581,14.35088,-5.350882,13.9175,-4.917504,0,0
22,Mairipora,RM São Paulo,Franco da Rocha,PV,82.556,14.501255,20.068647,12.15494,2.346313,16.93117,3.137481,16.73276,3.335886,0,0
23,Mauá,RM São Paulo,São Paulo,PT,421.18399,56.715526,18.57609,105.0535,-48.33792,20.93873,-2.362637,19.83776,-1.261668,0,0
24,Mogi Das Cruzes,RM São Paulo,Mogi das Cruzes,PSD,392.19601,78.6421,20.92064,97.10095,-18.45885,20.76336,0.1572772,20.58192,0.3387199,0,0
25,Osasco,RM São Paulo,Osasco,PT,667.82599,128.42911,26.72313,172.7167,-44.28761,22.07233,4.650797,21.69857,5.024555,0,0
26,Pirapora Do Bom Jesus,RM São Paulo,Osasco,PMDB,15.99,3.2772396,18.5,-6.106638,9.383878,12.89429,5.60571,13.34677,5.153229,0,0
27,Poá,RM São Paulo,Mogi das Cruzes,PDT,106.797,22.177781,22.4,18.80517,3.372612,17.5643,4.835695,17.70003,4.699968,0,0
28,Praia Grande,RM Baixada Santista,Santos,PSDB,267.30701,74.08746,0,62.83916,11.2483,19.82058,0,20.44609,0,1,0
29,Ribeirao Pires,RM São Paulo,São Paulo,PMDB,113.726,18.065635,20.04234,20.70606,-2.640422,17.7189,2.323443,17.23313,2.809213,0,0
30,Rio Grande Da Serra,RM São Paulo,São Paulo,PSDB,44.502998,5.0265256,15.03387,1.71556,3.310966,15.41155,-0.3776811,14.32058,0.7132898,0,0
31,Salesópolis,RM São Paulo,Mogi das Cruzes,PR,15.734,2.7408747,7.3,-6.176868,8.917743,12.8546,-5.554599,12.93987,-5.639869,0,0
32,Santa Isabel,RM São Paulo,Guarulhos,PV,50.969002,8.9384034,16,3.48943,5.448973,15.74517,0.2548256,15.63111,0.3688858,0,0
33,Santana De Parnaíba,RM São Paulo,Osasco,DEM,111.422,45.842939,18.5,20.07398,25.76896,17.66856,0.8314356,19.35322,-0.8532153,0,0
34,Santo André,RM São Paulo,São Paulo,PT,678.48602,145.03312,23.90571,175.6412,-30.60805,22.11128,1.794432,21.97539,1.930323,0,0
35,Santos,RM Baixada Santista,Santos,PSDB,419.509,152.06144,18,104.5939,47.46749,20.92893,-2.928927,22.08313,-4.083127,0,0
36,Sao Bernardo Do Campo,RM São Paulo,São Paulo,PT,770.25299,257.68526,22.64083,200.8163,56.86893,22.42324,0.217585,23.28398,-0.6431533,0,0
37,Sao Caetano Do Sul,RM São Paulo,São Paulo,PMDB,149.96201,83.710145,20,30.64697,53.06318,18.3991,1.600901,20.72411,-0.7241066,0,0
38,Sao Lourenço Da Serra,RM São Paulo,Itapecerica da Serra,PMDB,14.11,2.5210741,5.2,-6.622393,9.143467,12.58669,-7.386689,12.74955,-7.549555,0,0
39,Sao Paulo,RM São Paulo,São Paulo,PT,11316.119,3107.1075,24.11762,3093.948,13.15984,29.03187,-4.914254,28.95231,-4.834692,0,0
40,Sao Vicente,RM Baixada Santista,Santos,PP,334.66299,57.768796,0,81.31746,-23.54866,20.37324,0,19.87965,0,1,0
