variable,varLabelEN,varLabelPT,unitsEN,unitsPT,dataYear
muniId,municipal id internal to dataset,id do município dentro do base do dados,none,nenhum,2015
muniName,municipal name,nome do município,none,nenhum,2015
metroRegion,metro region,região metropolitana do município,none,nenhum,2015
microName,micro region,microregião do município,none,nenhum,2015
partyOfMayor2012,party of the mayor elected in 2012,partido do prefeito eleito em 2012,none,nenhum,2013
pop1k2012,population,população,thousand,mil,2012
budget1M2012,municipal budget,orçamento do município,million per month,milões por mês,2012
salaryMayor1k2014,mayor salary,subsídio do prefeito,thousand per month,mil por mês,2014
fitBudgetPop,expected budget given population,expectativa do orçamento dado população,million per month,milões por mês,2012
gapBudgetPop,"gap between expected and actual budget, given population","a divergência entre a expectativa e real orçamento, dado população",million per month,milões por mês,2012
fitSalaryPop,expected salary given population,expectativa do subsídio dado população,thousand per month,mil por mês,2014
gapSalaryPop,"gap between expected and actual salary, given population","a divergência entre a expectativa e real subsídio do prefeito, dado população",thousand per month,mil por mês,2014
fitSalaryBudget,expected salary given budget,expectativa do subsídio dado orçamento,thousand per month,mil por mês,2014
gapSalaryBudget,"gap between expected and actual salary, given budget","a divergência entre a expectativa e real subsídio do prefeito, dado orçamento",thousand per month,mil por mês,2014
flagSalaryMissing,no salary data,faltou dados do subsídio,thousand per month,mil por mês,2014
flagBudgetMissing,no budget data,faltou dados de orçamento,thousand per month,mil por mês,2014
